"Iteration","Access_Pattern","Stride_Size","Latency_ns","Bandwidth_MBps","Latency_cycles"
"1","Sequential (Low Miss)","1B","0","0","N/A"
"1","64B Stride","64B","0","0","N/A"
"1","128B Stride","128B","0","0","N/A"
"1","4KB Stride","4096B","0","0","N/A"
"1","Random (High Miss)","Random","0","0","N/A"
"2","Sequential (Low Miss)","1B","0","0","N/A"
"2","64B Stride","64B","0","0","N/A"
"2","128B Stride","128B","0","0","N/A"
"2","4KB Stride","4096B","0","0","N/A"
"2","Random (High Miss)","Random","0","0","N/A"
"3","Sequential (Low Miss)","1B","0","0","N/A"
"3","64B Stride","64B","0","0","N/A"
"3","128B Stride","128B","0","0","N/A"
"3","4KB Stride","4096B","0","0","N/A"
"3","Random (High Miss)","Random","0","0","N/A"
