"Iteration","Size_Bytes","Latency_ns","Latency_cycles"
"1","4","0.8","4.4"
"1","8","6.8","37.4"
"1","16","13.9","76.45"
"1","32","25.9","142.45"
"1","64","46.9","257.95"
"1","128","71.9","395.45"
"1","256","72","396"
"2","4","0.8","4.4"
"2","8","6.8","37.4"
"2","16","14.6","80.3"
"2","32","25.9","142.45"
"2","64","45.5","250.25"
"2","128","71.5","393.25"
"2","256","72.4","398.2"
"3","4","0.8","4.4"
"3","8","6.8","37.4"
"3","16","14.5","79.75"
"3","32","26.5","145.75"
"3","64","45.4","249.7"
"3","128","73.1","402.05"
"3","256","72.6","399.3"
