"Delay","Latency_ns","Bandwidth_MBps","Pattern","Iteration"
"0","798.78","59981.6","Sequential","1"
"2","757.65","59944.4","Sequential","1"
"8","478.66","60533.7","Sequential","1"
"15","751.14","60177.6","Sequential","1"
"50","794.5","60265.6","Sequential","1"
"100","535.78","59776.8","Sequential","1"
"200","98.4","42815","Sequential","1"
"300","91.21","30276.6","Sequential","1"
"400","90.3","23156.4","Sequential","1"
"500","89.62","18940.3","Sequential","1"
"700","87.53","13705.3","Sequential","1"
"1000","89.55","9972","Sequential","1"
"1300","79.08","7993.4","Sequential","1"
"1700","81.35","6314.3","Sequential","1"
"2500","79.21","4585.2","Sequential","1"
"3500","78.26","3527","Sequential","1"
"5000","77.6","2723.3","Sequential","1"
"9000","76.52","1890.8","Sequential","1"
"20000","88.04","1200.9","Sequential","1"
"0","715.74","60083.9","Random","1"
"2","600.84","60290.2","Random","1"
"8","525.56","60608","Random","1"
"15","769.46","60286.8","Random","1"
"50","704.88","60430.9","Random","1"
"100","651.61","60161.2","Random","1"
"200","90.08","42929.6","Random","1"
"300","94.55","29974.4","Random","1"
"400","90.5","23280.3","Random","1"
"500","89.84","18914.9","Random","1"
"700","86.45","13886","Random","1"
"1000","101.21","9859.9","Random","1"
"1300","76.99","8001.2","Random","1"
"1700","80.82","6336.6","Random","1"
"2500","79.67","4583.9","Random","1"
"3500","77.9","3531.5","Random","1"
"5000","79.63","2707.5","Random","1"
"9000","78.74","1873","Random","1"
"20000","75.1","1327.9","Random","1"
"0","744.11","60003.7","Small-Range","1"
"2","928.57","59837.6","Small-Range","1"
"8","722.97","60153.4","Small-Range","1"
"15","448.48","60726","Small-Range","1"
"50","503.49","60042.3","Small-Range","1"
"100","396.96","60774.9","Small-Range","1"
"200","106.43","42562.7","Small-Range","1"
"300","92.06","30359.2","Small-Range","1"
"400","92.97","22886.3","Small-Range","1"
"500","88.91","19054.3","Small-Range","1"
"700","86.77","13965.8","Small-Range","1"
"1000","84.48","9966.9","Small-Range","1"
"1300","81.85","8023.5","Small-Range","1"
"1700","91.71","6206.7","Small-Range","1"
"2500","79.44","4598.3","Small-Range","1"
"3500","77.26","3547","Small-Range","1"
"5000","74.3","2757.8","Small-Range","1"
"9000","78.46","1874.3","Small-Range","1"
"20000","76.14","1317.7","Small-Range","1"
"0","410.95","60695.7","Medium-Range","1"
"2","458.46","60729.6","Medium-Range","1"
"8","399.23","60859.4","Medium-Range","1"
"15","473.4","60891.1","Medium-Range","1"
"50","455.29","60635.1","Medium-Range","1"
"100","387.92","61026.6","Medium-Range","1"
"200","85.57","44430.3","Medium-Range","1"
"300","81.46","30652.5","Medium-Range","1"
"400","81.39","23757.4","Medium-Range","1"
"500","79.57","19337.5","Medium-Range","1"
"700","79.06","14097.2","Medium-Range","1"
"1000","76.83","10301.8","Medium-Range","1"
"1300","74.45","8166.8","Medium-Range","1"
"1700","73.33","6458.5","Medium-Range","1"
"2500","72.88","4707.5","Medium-Range","1"
"3500","72.48","3626.1","Medium-Range","1"
"5000","71.92","2812.4","Medium-Range","1"
"9000","73.39","1926.5","Medium-Range","1"
"20000","71.91","1372","Medium-Range","1"
"0","416.08","60524.2","Large-Range","1"
"2","418.24","60534","Large-Range","1"
"8","473.83","60173.5","Large-Range","1"
"15","442.24","60583.4","Large-Range","1"
"50","488.47","60566.6","Large-Range","1"
"100","414.79","60703.4","Large-Range","1"
"200","85.1","44214.3","Large-Range","1"
"300","82.06","30704.3","Large-Range","1"
"400","80.32","23685.6","Large-Range","1"
"500","81.01","19275.1","Large-Range","1"
"700","77.88","14068.4","Large-Range","1"
"1000","77.22","10202.2","Large-Range","1"
"1300","74.58","8150.9","Large-Range","1"
"1700","73.98","6428.9","Large-Range","1"
"2500","72.89","4699.2","Large-Range","1"
"3500","72.47","3618.8","Large-Range","1"
"5000","72.08","2806.3","Large-Range","1"
"9000","71.1","1964","Large-Range","1"
"20000","71.88","1368.9","Large-Range","1"
"0","449.85","60557.2","Sequential","2"
"2","463.64","60653.2","Sequential","2"
"8","500.82","60563.8","Sequential","2"
"15","432.29","60725.9","Sequential","2"
"50","430.86","60611.6","Sequential","2"
"100","416.08","60844.5","Sequential","2"
"200","85.62","44128.6","Sequential","2"
"300","84.13","30125.9","Sequential","2"
"400","80.9","23425","Sequential","2"
"500","79.85","19269.4","Sequential","2"
"700","78.53","14177.3","Sequential","2"
"1000","78.27","10082.8","Sequential","2"
"1300","74.31","8093","Sequential","2"
"1700","73.57","6459.5","Sequential","2"
"2500","73","4686","Sequential","2"
"3500","74.01","3586.2","Sequential","2"
"5000","72.49","2801.1","Sequential","2"
"9000","71.47","1962.1","Sequential","2"
"20000","70.85","1384.7","Sequential","2"
"0","489.18","60373.5","Random","2"
"2","413.19","60869.7","Random","2"
"8","435.43","60722.5","Random","2"
"15","471.7","60199.9","Random","2"
"50","376.43","61356","Random","2"
"100","398.21","60811.1","Random","2"
"200","85.58","44038.5","Random","2"
"300","81.6","30750.1","Random","2"
"400","80.2","23645.6","Random","2"
"500","79.41","19073.8","Random","2"
"700","79.89","14073.7","Random","2"
"1000","77.1","10287.2","Random","2"
"1300","74.84","8152.6","Random","2"
"1700","77.81","6347.9","Random","2"
"2500","73.28","4691.9","Random","2"
"3500","72.79","3607.6","Random","2"
"5000","72.02","2807.9","Random","2"
"9000","71.68","1959.8","Random","2"
"20000","72","1366.6","Random","2"
"0","417.89","60582.7","Small-Range","2"
"2","496.2","60488.9","Small-Range","2"
"8","424.58","60681.4","Small-Range","2"
"15","430.2","60674.9","Small-Range","2"
"50","463.19","60808.9","Small-Range","2"
"100","444.91","60737.3","Small-Range","2"
"200","86.39","43943.9","Small-Range","2"
"300","80.33","30640.5","Small-Range","2"
"400","80.01","23685.1","Small-Range","2"
"500","80.09","19286.3","Small-Range","2"
"700","78.81","14085.9","Small-Range","2"
"1000","77.46","10250.1","Small-Range","2"
"1300","74.91","8113.2","Small-Range","2"
"1700","73.48","6450.3","Small-Range","2"
"2500","72.64","4697.3","Small-Range","2"
"3500","71.95","3621","Small-Range","2"
"5000","71.95","2800.6","Small-Range","2"
"9000","71.13","1965.8","Small-Range","2"
"20000","72.26","1364.3","Small-Range","2"
"0","439.83","60625.3","Medium-Range","2"
"2","473.23","60657.5","Medium-Range","2"
"8","444.88","61009.2","Medium-Range","2"
"15","383.98","61279.5","Medium-Range","2"
"50","438.07","61054.7","Medium-Range","2"
"100","382.24","61045.6","Medium-Range","2"
"200","84.58","44002.1","Medium-Range","2"
"300","81.14","30824.4","Medium-Range","2"
"400","80.05","23736","Medium-Range","2"
"500","79.82","19377.5","Medium-Range","2"
"700","80.13","14130.6","Medium-Range","2"
"1000","76.88","10278.8","Medium-Range","2"
"1300","75.93","8122.2","Medium-Range","2"
"1700","73.92","6467.3","Medium-Range","2"
"2500","72.7","4705.9","Medium-Range","2"
"3500","71.99","3633","Medium-Range","2"
"5000","71.54","2806.7","Medium-Range","2"
"9000","72.93","1939.2","Medium-Range","2"
"20000","70.88","1386.1","Medium-Range","2"
"0","442.06","60526.6","Large-Range","2"
"2","433.95","60549.9","Large-Range","2"
"8","380.33","61145.5","Large-Range","2"
"15","423.54","60606","Large-Range","2"
"50","460.66","60827.4","Large-Range","2"
"100","418.31","60440.8","Large-Range","2"
"200","84.97","44218.7","Large-Range","2"
"300","81.91","30743.2","Large-Range","2"
"400","81.02","23503.6","Large-Range","2"
"500","81.57","18985.5","Large-Range","2"
"700","79.48","14124.1","Large-Range","2"
