"Delay","Latency_ns","Bandwidth_MBps","Pattern","Iteration"
"0","715.74","60083.9","Random","1"
"2","600.84","60290.2","Random","1"
"8","525.56","60608","Random","1"
"15","769.46","60286.8","Random","1"
"50","704.88","60430.9","Random","1"
"100","651.61","60161.2","Random","1"
"200","90.08","42929.6","Random","1"
"300","94.55","29974.4","Random","1"
"400","90.5","23280.3","Random","1"
"500","89.84","18914.9","Random","1"
"700","86.45","13886","Random","1"
"1000","101.21","9859.9","Random","1"
"1300","76.99","8001.2","Random","1"
"1700","80.82","6336.6","Random","1"
"2500","79.67","4583.9","Random","1"
"3500","77.9","3531.5","Random","1"
"5000","79.63","2707.5","Random","1"
"9000","78.74","1873","Random","1"
"20000","75.1","1327.9","Random","1"
