"Delay","Latency_ns","Bandwidth_MBps","Pattern","Iteration"
"0","798.78","59981.6","Sequential","1"
"2","757.65","59944.4","Sequential","1"
"8","478.66","60533.7","Sequential","1"
"15","751.14","60177.6","Sequential","1"
"50","794.5","60265.6","Sequential","1"
"100","535.78","59776.8","Sequential","1"
"200","98.4","42815","Sequential","1"
"300","91.21","30276.6","Sequential","1"
"400","90.3","23156.4","Sequential","1"
"500","89.62","18940.3","Sequential","1"
"700","87.53","13705.3","Sequential","1"
"1000","89.55","9972","Sequential","1"
"1300","79.08","7993.4","Sequential","1"
"1700","81.35","6314.3","Sequential","1"
"2500","79.21","4585.2","Sequential","1"
"3500","78.26","3527","Sequential","1"
"5000","77.6","2723.3","Sequential","1"
"9000","76.52","1890.8","Sequential","1"
"20000","88.04","1200.9","Sequential","1"
