"Delay","Latency_ns","Bandwidth_MBps","Pattern","Iteration"
"0","744.11","60003.7","Small-Range","1"
"2","928.57","59837.6","Small-Range","1"
"8","722.97","60153.4","Small-Range","1"
"15","448.48","60726","Small-Range","1"
"50","503.49","60042.3","Small-Range","1"
"100","396.96","60774.9","Small-Range","1"
"200","106.43","42562.7","Small-Range","1"
"300","92.06","30359.2","Small-Range","1"
"400","92.97","22886.3","Small-Range","1"
"500","88.91","19054.3","Small-Range","1"
"700","86.77","13965.8","Small-Range","1"
"1000","84.48","9966.9","Small-Range","1"
"1300","81.85","8023.5","Small-Range","1"
"1700","91.71","6206.7","Small-Range","1"
"2500","79.44","4598.3","Small-Range","1"
"3500","77.26","3547","Small-Range","1"
"5000","74.3","2757.8","Small-Range","1"
"9000","78.46","1874.3","Small-Range","1"
"20000","76.14","1317.7","Small-Range","1"
