"Delay","Latency_ns","Bandwidth_MBps","Pattern","Iteration"
"0","439.83","60625.3","Medium-Range","2"
"2","473.23","60657.5","Medium-Range","2"
"8","444.88","61009.2","Medium-Range","2"
"15","383.98","61279.5","Medium-Range","2"
"50","438.07","61054.7","Medium-Range","2"
"100","382.24","61045.6","Medium-Range","2"
"200","84.58","44002.1","Medium-Range","2"
"300","81.14","30824.4","Medium-Range","2"
"400","80.05","23736","Medium-Range","2"
"500","79.82","19377.5","Medium-Range","2"
"700","80.13","14130.6","Medium-Range","2"
"1000","76.88","10278.8","Medium-Range","2"
"1300","75.93","8122.2","Medium-Range","2"
"1700","73.92","6467.3","Medium-Range","2"
"2500","72.7","4705.9","Medium-Range","2"
"3500","71.99","3633","Medium-Range","2"
"5000","71.54","2806.7","Medium-Range","2"
"9000","72.93","1939.2","Medium-Range","2"
"20000","70.88","1386.1","Medium-Range","2"
