"Delay","Latency_ns","Bandwidth_MBps","Pattern","Iteration"
"0","437.87","60722.6","Large-Range","3"
"2","484.89","60674.7","Large-Range","3"
"8","438.25","61082.7","Large-Range","3"
"15","486.1","60893.6","Large-Range","3"
"50","460.54","60974.1","Large-Range","3"
"100","433.81","60957.2","Large-Range","3"
"200","84.78","44183.7","Large-Range","3"
"300","81.66","30820","Large-Range","3"
"400","81.04","23506.6","Large-Range","3"
"500","79.65","19352.8","Large-Range","3"
"700","79.75","14126.7","Large-Range","3"
"1000","77.21","10263.4","Large-Range","3"
"1300","75.04","8142.6","Large-Range","3"
"1700","74.8","6456","Large-Range","3"
"2500","73.13","4697.7","Large-Range","3"
"3500","73.29","3578.2","Large-Range","3"
"5000","73.02","2798.2","Large-Range","3"
"9000","72.48","1951.8","Large-Range","3"
"20000","72.71","1350.7","Large-Range","3"
